335710	0	7076765	1
1083663	0	2155191	1
1083663	0	741807	1
1083663	0	2155186	1
1083663	0	1166682	1
1083663	0	7135416	1
1083663	0	2155183	1
1083663	0	2155188	1
1083663	0	2155192	1
1083663	0	7135413	1
1083663	0	1166689	1
1083663	0	4915432	1
1083663	0	7135412	1
1083663	0	361868	1
1083663	0	2155185	1
1083663	0	7135414	1
1083663	0	741804	1
1083663	0	5072960	1
1083663	0	7135409	1
1083663	0	6742896	1
1083663	0	7135417	1
178468	0	7377855	1
178468	0	5283833	1
178468	0	3241000	1
178468	0	7377859	1
178468	0	7377854	1
178468	0	5346630	1
178468	0	8022206	1
178468	0	7377856	1
178468	0	7377860	1
178468	0	7620513	1
9083	0	4429824	1
9083	0	551888	1
9083	0	5066808	1
9083	0	7067274	1
9083	0	1599158	1
9083	0	6653709	1
92542	0	6881855	1
92542	0	7071998	1
92542	0	6049995	1
92542	0	190815	1
92542	0	838771	1
92542	0	1470216	1
92542	0	1388865	1
92542	0	7651509	1
92542	0	2606452	1
92542	0	7072003	1
92542	0	6881854	1
92542	0	1157800	1
92542	0	6501856	1
92542	0	3733194	1
92542	0	2270585	1
92542	0	1388862	1
92542	0	7398406	1
92542	0	3733195	1
92542	0	5303227	1
92542	0	4432676	1
1084469	0	686422	1
1084469	0	7127941	1
1084469	0	2031598	1
1084469	0	7127936	1
1084469	0	6019800	1
1084469	0	8334585	1
1084469	0	2031595	1
1084469	0	1669683	1
1084469	0	5812776	1
1084469	0	1594799	1
1084469	0	6019803	1
1084469	0	7127942	1
1084469	0	384257	1
1084469	0	7127935	1
1056446	0	7174391	1
1056446	0	7174389	1
1056446	0	7174390	1
1056446	0	7174388	1
1056446	0	7174386	1
758519	0	4883865	1
758519	0	1856948	1
758519	0	4883862	1
758519	0	1856953	1
758519	0	7595982	1
758519	0	6790587	1
758519	0	5277739	1
758519	0	5314456	1
758519	0	7074008	1
758519	0	2194281	1
758519	0	5968682	1
758519	0	5314457	1
758519	0	7595984	1
758519	0	7595985	1
758519	0	7595979	1
758519	0	646058	1
825147	0	6310481	1
825147	0	3573658	1
825147	0	8602943	1
825147	0	702337	1
825147	0	7653985	1
825147	0	1178895	1
825147	0	425816	1
825147	0	5742137	1
825147	0	7875504	1
825147	0	270878	1
825147	0	851739	1
825147	0	186544	1
1049791	0	7185649	1
1049791	0	7185650	1
1049791	0	7185645	1
1049791	0	7185642	1
1049791	0	7185644	1
242107	0	1846880	1
242107	0	5539743	1
242107	0	1100161	1
242107	0	48374	1
242107	0	5305583	1
242107	0	6979331	1
242107	0	6538890	1
242107	0	6591469	1
242107	0	4516724	1
242107	0	5729778	1
242107	0	1737755	1
242107	0	3968773	1
242107	0	5691107	1
242107	0	1615222	1
242107	0	6971905	1
242107	0	92150	1
242107	0	5729779	1
689885	0	383317	1
689885	0	7637588	1
689885	0	7637583	1
689885	0	3895709	1
689885	0	8075600	1
689885	0	8019852	1
689885	0	7637589	1
689885	0	7637587	1
689885	0	7637585	1
689885	0	7637584	1
689885	0	7637582	1
689885	0	3895708	1
741392	0	5718088	1
741392	0	8037819	1
741392	0	5324342	1
741392	0	6815013	1
741392	0	1770910	1
741392	0	679972	1
741392	0	2570155	1
741392	0	9178	1
741392	0	1394736	1
741392	0	961848	1
741392	0	300460	1
741392	0	1560146	1
741392	0	300461	1
741392	0	961850	1
741392	0	1656444	1
741392	0	3966122	1
741392	0	679968	1
741392	0	3202879	1
741392	0	7244529	1
1091688	0	7894008	1
1091688	0	7894005	1
1091688	0	3933303	1
1091688	0	1560753	1
1091688	0	5688126	1
1091688	0	3215661	1
1091688	0	3215662	1
1091688	0	7894012	1
1091688	0	1560755	1
1091688	0	7894007	1
149161	0	574949	1
149161	0	5738376	1
149161	0	1744736	1
149161	0	7999719	1
149161	0	574952	1
149161	0	5738380	1
149161	0	8406006	1
149161	0	6020230	1
149161	0	3281877	1
149161	0	4492977	1
149161	0	3950438	1
149161	0	7999715	1
149161	0	7999716	1
1040461	0	7864218	1
1040461	0	6700713	1
1040461	0	7864217	1
1040461	0	7864223	1
1040461	0	7864220	1
1040461	0	7864215	1
1040461	0	4221179	1
1040461	0	7864221	1
1040461	0	4655241	1
1040461	0	7864222	1
1040461	0	8153970	1
1040461	0	5310382	1
409143	0	1454852	1
409143	0	7410103	1
409143	0	8707559	1
409143	0	7410095	1
409143	0	5330252	1
409143	0	4348945	1
409143	0	6315807	1
409143	0	7410097	1
409143	0	3764635	1
409143	0	6839762	1
409143	0	7123258	1
409143	0	4964614	1
409143	0	5330250	1
409143	0	3258476	1
409143	0	6352672	1
409143	0	4595358	1
409143	0	5330247	1
