785721	1066038	2
785721	4602929	2
785721	4602935	2
785721	1364351	2
785721	221779	1
785721	7816911	1
785721	5243300	5
785721	6550376	2
785721	2247533	1
785721	5243299	5
785721	5533880	5
785721	7923064	5
785721	3445011	3
785721	1779207	1
785721	8649528	2
785721	7229260	1
785721	7512598	5
785721	6819858	1
785721	221778	2
785721	5243297	3
30860	598643	1
30860	3175011	1
30860	5338592	1
30860	2317275	1
30860	3074653	1
30860	7402571	5
30860	7569902	1
30860	1292692	1
30860	3074652	1
30860	7402572	5
30860	7402569	4
30860	8020298	4
30860	3175017	1
30860	4608243	1
30860	3175009	2
30860	5817347	1
30860	6333747	2
30860	7427434	1
30860	5832906	1
30860	6553141	1
9083	8726896	1
9083	551888	4
9083	2902047	1
9083	4463648	1
9083	5066808	3
9083	1195004	1
9083	1176428	1
9083	3766897	1
9083	8221636	1
9083	7067274	5
9083	1176430	1
9083	8221644	1
9083	1176427	1
9083	1599158	5
9083	6653709	5
9083	4429824	5
9083	6686086	1
9083	7149238	1
9083	2954175	1
9083	2954181	1
1049791	7074335	1
1049791	7185649	2
1049791	7211423	1
1049791	8114700	1
1049791	3058085	1
1049791	7185650	3
1049791	1147809	1
1049791	1338568	1
1049791	7185645	4
1049791	2737045	1
1049791	1605952	1
1049791	8154817	1
1049791	1147811	1
1049791	37604	1
1049791	7185644	5
1049791	7185642	3
1049791	6809641	1
1049791	1606419	1
1049791	1147810	1
1049791	665982	1
208822	8009123	5
208822	7674638	5
208822	8717212	5
208822	1787531	4
208822	8717208	3
208822	7806620	2
208822	6715164	5
208822	8717204	4
208822	8717209	4
208822	1711524	2
208822	8717207	4
208822	8009122	5
208822	8738118	5
208822	4166777	2
208822	7806623	2
208822	5274440	3
208822	30086	2
208822	511092	1
208822	3634260	4
208822	2580934	3
117113	2438135	5
117113	5039882	5
117113	3921462	3
117113	3144270	3
117113	7567214	4
117113	3192372	4
117113	5395543	4
117113	6632804	3
117113	5275890	4
117113	775620	3
117113	3764455	3
117113	2263638	4
117113	66973	3
117113	5980820	3
117113	3799777	3
117113	5016239	4
117113	6733469	4
117113	7567209	2
117113	5953568	5
117113	1503179	4
242107	5305583	4
242107	1100161	3
242107	92150	4
242107	1737755	3
242107	5729778	3
242107	1598990	1
242107	5547672	1
242107	5691107	2
242107	5729779	3
242107	4516724	4
242107	6591469	4
242107	1615222	3
242107	6971905	3
242107	5539743	3
242107	3968773	5
242107	48374	4
242107	6979331	4
242107	7329204	1
242107	6538890	3
242107	1846880	4
1056446	7174393	1
1056446	7174389	4
1056446	7747483	1
1056446	7174388	2
1056446	8145658	1
1056446	7174386	3
1056446	5095701	1
1056446	1147811	1
1056446	8144663	1
1056446	1147809	1
1056446	576583	1
1056446	6759238	1
1056446	5095702	1
1056446	1041939	1
1056446	3527605	1
1056446	7099015	1
1056446	7174391	3
1056446	6796749	1
1056446	1147810	1
1056446	7174390	4
1040461	7864217	5
1040461	4655241	2
1040461	4221179	2
1040461	8797783	1
1040461	1178786	1
1040461	4104821	1
1040461	7864222	4
1040461	3514239	1
1040461	7864215	4
1040461	8153970	2
1040461	4224558	1
1040461	3280621	1
1040461	4721668	1
1040461	7864218	5
1040461	7864221	4
1040461	7864220	3
1040461	5310382	2
1040461	7864223	4
1040461	6700713	2
1040461	8190293	1
